Cycle,Cost,deadline,Element: 1,Element: 2,Element: 3,Element: 4,Element: 5,Element: 6,Element: 7,Element: 8,Element: 9,
72,14394.457437,6043.323835,4069.698468,2276.888597,532.450490,2412.407130,4785.613420,N/A,N/A,N/A,N/A,
73,59958.661029,10332.580704,4790.721749,3247.599246,2092.264250,1574.395846,1780.877265,2593.423661,3323.030881,4797.484220,4844.002534,
74,6594.641867,2759.735497,733.920769,653.435145,47.797585,556.992967,4731.625618,N/A,N/A,N/A,N/A,
75,9137.435339,4730.451657,3240.989715,1677.645061,327.224550,549.561384,4814.444505,N/A,N/A,N/A,N/A,
76,13260.341324,4133.951119,3069.078798,665.312305,385.870057,1374.066918,1476.563280,4747.961590,N/A,N/A,N/A,
77,15720.999066,7222.946425,4737.403578,1820.538093,722.487288,867.752364,2757.628824,4222.006590,N/A,N/A,N/A,
78,26561.889410,6140.569559,2331.437115,1715.062995,1350.895188,946.208621,1073.825349,1450.810235,3196.723638,3859.162078,N/A,
79,19338.493292,7390.053117,2994.969638,2152.746146,1619.212116,527.331336,317.430255,951.530055,1848.735462,4543.546795,N/A,
80,18767.154326,4984.736555,3040.372700,1204.724919,394.749574,263.928926,103.628906,274.170723,666.015616,4068.419994,4312.389660,
81,30080.012559,9401.400803,4379.727577,2977.248425,1790.645361,392.711821,1005.668325,2203.283187,3271.284454,4890.381423,N/A,
82,61768.068711,12200.055667,4185.672143,4106.525285,3247.521439,773.646726,2419.555780,3284.522659,3322.764381,4417.892261,4465.683394,
83,55901.664591,11549.738519,4309.043904,2972.070372,2594.889006,1617.220017,2298.373143,2861.238897,2928.671080,3151.848940,4918.138951,
84,22799.198763,6253.854394,2978.356888,1923.094399,1581.475992,2065.458903,3300.572691,4457.484517,N/A,N/A,N/A,
85,11706.355685,5509.350137,3463.468654,1683.764087,290.285909,2670.235005,4101.549770,N/A,N/A,N/A,N/A,
86,14930.780792,4217.956502,2268.290065,1263.900617,809.855129,818.857114,2398.993214,4544.433531,N/A,N/A,N/A,
87,10928.455104,5169.045234,2226.985139,1949.305739,906.770206,219.390743,1304.448709,3898.539305,N/A,N/A,N/A,
88,15848.554928,5821.008666,4098.475429,1747.449503,336.911797,1251.722358,2321.665611,4255.294878,N/A,N/A,N/A,
89,20934.252201,5019.187106,2362.194107,1933.187646,890.673623,15.340890,391.008900,1291.352416,3057.421802,4922.603322,N/A,
90,36960.986056,7821.044522,4443.224274,2008.582163,1111.595176,66.943944,513.708027,1466.981035,3564.851488,4412.021872,4764.018190,
91,37193.398202,8688.634372,3814.807372,3228.753811,1216.971172,363.837678,871.167552,1949.405142,2308.084445,3701.287460,4023.166768,
92,15953.461240,4044.538742,2102.673558,1238.875248,716.874691,1068.384149,3059.824376,3928.265902,N/A,N/A,N/A,
93,32468.590650,8490.045220,3547.351580,2427.158033,1498.970680,933.085811,1462.376964,2338.736964,3222.919484,4932.676109,N/A,
94,15392.175757,7339.453901,4603.943898,1997.093978,584.908806,280.640269,1324.155023,1368.631357,4546.482527,N/A,N/A,
95,32110.070274,8968.148058,3218.550955,3004.877903,2008.790955,498.362868,1315.553360,2693.238146,2933.616399,4383.361184,N/A,
96,20995.398022,6754.803428,2938.226729,1963.357299,1843.373730,152.683360,314.719493,1005.514204,3086.547344,4153.052529,N/A,
97,43332.980043,10827.601538,4565.336219,3840.311636,3498.048871,484.858334,4338.557917,4696.229639,4920.718742,N/A,N/A,
98,58001.725785,11144.167881,4367.046398,3494.857682,3317.101115,77.636447,1129.837840,3870.957522,4175.012032,4463.334389,4647.936445,
99,19439.809805,7685.048594,3833.440145,3299.462183,796.615932,1195.023148,3310.558377,3851.990233,N/A,N/A,N/A,
100,20324.311035,5754.026591,3031.843348,1655.438805,665.224135,359.435969,600.778838,1621.823625,2692.162314,3607.205195,N/A,
101,10454.330493,5503.852568,2641.856619,1988.260400,56.475409,1907.729022,4537.661231,N/A,N/A,N/A,N/A,
102,41191.183139,8514.589409,4119.947990,2088.734996,1932.271073,71.560531,1334.087228,1867.003539,3047.834926,3792.480997,4458.382157,
103,45406.537430,10525.274710,4163.742888,3987.403162,1875.363510,382.866776,3226.682733,3781.195185,3840.502172,4588.486086,N/A,
104,27052.768126,8002.220174,4522.002660,2500.099256,946.525180,38.279519,232.874091,343.483212,2133.773046,4455.665327,4679.767529,
