Cycle,Algo_Type,Element: 1,Element: 2,Element: 3,Element: 4,Element: 5,Element: 6,Element: 7,Element: 8,Element: 9,Cost,D_Index,
98,NAIVE,46,38,24,6,1,5,7,26,N/A,163,4,
98,DYNAMIC,46,26,24,5,1,6,7,38,N/A,163,4,
99,NAIVE,41,36,28,20,10,30,37,N/A,N/A,279,4,
99,DYNAMIC,41,36,30,10,20,28,37,N/A,N/A,279,4,
100,NAIVE,49,16,5,5,3,5,17,N/A,N/A,77,4,
100,DYNAMIC,49,16,5,5,3,5,17,N/A,N/A,77,4,
101,NAIVE,50,30,15,2,12,32,N/A,N/A,N/A,122,3,
101,DYNAMIC,50,30,15,2,12,32,N/A,N/A,N/A,122,3,
102,NAIVE,26,16,16,14,8,2,14,15,24,226,5,
102,DYNAMIC,26,16,16,14,8,2,14,15,24,226,5,
103,NAIVE,44,41,31,9,9,19,35,39,N/A,332,4,
103,DYNAMIC,44,39,35,9,9,19,31,41,N/A,332,5,
104,NAIVE,42,37,28,12,4,12,20,31,N/A,252,4,
104,DYNAMIC,42,31,28,12,4,12,20,37,N/A,252,4,
105,NAIVE,50,42,41,1,34,38,43,N/A,N/A,348,4,
105,DYNAMIC,50,42,41,1,34,38,43,N/A,N/A,348,4,
106,NAIVE,47,21,13,6,7,47,N/A,N/A,N/A,126,3,
106,DYNAMIC,47,21,13,6,7,47,N/A,N/A,N/A,126,4,
107,NAIVE,24,21,11,8,18,20,N/A,N/A,N/A,123,3,
107,DYNAMIC,24,20,18,8,11,21,N/A,N/A,N/A,123,3,
108,NAIVE,32,31,18,4,1,3,7,18,31,183,5,
108,DYNAMIC,32,31,18,4,3,1,7,18,31,183,5,
109,NAIVE,49,32,27,16,4,24,25,43,N/A,315,4,
109,DYNAMIC,49,32,27,24,4,16,25,43,N/A,315,4,
110,NAIVE,48,47,12,4,6,18,47,N/A,N/A,184,4,
110,DYNAMIC,48,47,12,6,4,18,47,N/A,N/A,184,4,
111,NAIVE,45,44,18,14,7,21,31,N/A,N/A,216,4,
111,DYNAMIC,45,31,21,14,7,18,44,N/A,N/A,216,4,
112,NAIVE,44,28,8,3,8,31,N/A,N/A,N/A,100,3,
112,DYNAMIC,44,28,8,3,8,31,N/A,N/A,N/A,100,4,
113,NAIVE,48,43,34,24,23,9,24,34,35,486,5,
113,DYNAMIC,48,35,34,24,23,9,24,34,43,486,5,
114,NAIVE,46,38,38,19,7,11,22,43,N/A,319,4,
114,DYNAMIC,46,38,38,11,7,19,22,43,N/A,319,4,
115,NAIVE,50,35,34,20,7,21,30,40,N/A,354,4,
115,DYNAMIC,50,35,34,20,7,21,30,40,N/A,354,4,
116,NAIVE,49,48,2,1,2,12,46,N/A,N/A,131,4,
116,DYNAMIC,49,46,12,1,2,2,48,N/A,N/A,131,4,
117,NAIVE,50,45,23,15,25,45,N/A,N/A,N/A,231,3,
117,DYNAMIC,50,45,23,15,25,45,N/A,N/A,N/A,231,4,
118,NAIVE,50,48,37,10,9,7,11,37,48,371,5,
118,DYNAMIC,50,48,37,10,9,7,11,37,48,371,5,
119,NAIVE,50,50,27,24,6,5,21,28,39,378,5,
119,DYNAMIC,50,39,28,24,5,6,21,27,50,378,5,
120,NAIVE,43,21,12,1,1,3,12,27,N/A,112,4,
120,DYNAMIC,43,21,12,3,1,1,12,27,N/A,112,4,
121,NAIVE,35,25,16,15,16,25,30,N/A,N/A,230,4,
121,DYNAMIC,35,25,25,15,16,16,30,N/A,N/A,230,4,
122,NAIVE,50,37,10,6,7,12,39,N/A,N/A,159,4,
122,DYNAMIC,50,37,12,6,7,10,39,N/A,N/A,159,4,
123,NAIVE,50,26,5,4,14,16,N/A,N/A,N/A,92,3,
123,DYNAMIC,50,16,14,4,5,26,N/A,N/A,N/A,92,3,
124,NAIVE,44,22,22,11,2,1,2,17,42,193,5,
124,DYNAMIC,44,22,22,11,1,2,2,17,42,193,5,
125,NAIVE,36,33,19,14,6,16,25,26,N/A,261,4,
125,DYNAMIC,36,26,25,14,6,16,19,33,N/A,261,5,
126,NAIVE,48,40,32,19,9,27,31,46,N/A,386,4,
126,DYNAMIC,48,40,32,27,9,19,31,46,N/A,386,4,
127,NAIVE,47,37,30,4,20,23,31,N/A,N/A,246,4,
127,DYNAMIC,47,31,30,4,20,23,37,N/A,N/A,246,4,
128,NAIVE,50,49,10,1,43,44,N/A,N/A,N/A,202,3,
128,DYNAMIC,50,44,43,1,10,49,N/A,N/A,N/A,202,3,
129,NAIVE,44,26,16,13,7,6,8,16,26,231,5,
129,DYNAMIC,44,26,16,8,7,6,13,16,26,231,5,
130,NAIVE,46,39,12,8,3,3,7,19,38,208,5,
130,DYNAMIC,46,38,19,7,3,3,8,12,39,208,5,
131,NAIVE,49,37,27,11,4,11,31,31,N/A,266,4,
131,DYNAMIC,49,31,31,11,4,11,27,37,N/A,266,4,
132,NAIVE,49,42,36,13,34,38,44,N/A,N/A,375,4,
132,DYNAMIC,49,42,38,13,34,36,44,N/A,N/A,375,4,
133,NAIVE,38,34,12,6,10,15,N/A,N/A,N/A,111,3,
133,DYNAMIC,38,15,12,6,10,34,N/A,N/A,N/A,111,4,
134,NAIVE,42,24,8,3,15,19,N/A,N/A,N/A,98,3,
